LotArea,TotalBsmtSF,GarageCars,SalePrice,AGE,TotalArea
14331,1800,3,312500,4,1800
8125,1654,3,230000,4,1654
9742,1777,2,230000,6,1795
14536,1616,3,270000,5,1629
11248,1626,3,285000,5,1668
11367,1065,2,255000,4,1989
9375,1284,2,228500,5,2169
13265,1568,3,271000,6,1689
14006,936,2,192500,4,1776
9135,1536,2,214000,6,1536
9808,1573,2,227000,7,1573
8749,1459,2,192000,5,1459
12803,1494,2,221000,6,1494
8935,831,2,195000,7,1660
10624,1728,1,119000,43,1728
11316,817,2,214900,8,1894
8777,0,2,108000,60,1126
7750,408,2,184100,7,1419
7861,783,2,183200,4,1509
5890,816,1,120500,78,816
13450,916,2,200000,4,1861
14191,967,2,202900,8,1908
8068,1010,2,200000,7,2267
11250,1128,2,255900,6,2290
11400,2633,3,466500,6,2633
11423,1581,2,272000,9,1601
9240,1055,2,287000,7,2263
9505,884,2,222500,9,2035
14781,1753,3,275000,5,1787
12435,963,2,231500,7,1792
11250,920,2,223500,7,1786
13704,1541,3,205000,5,1541
6853,1267,2,220000,8,1296
11885,1299,2,261500,8,1872
12209,804,2,215000,8,1961
8400,810,2,227000,8,1665
12420,944,2,230000,8,1840
7050,1057,2,226000,6,1929
9100,1212,2,178000,8,1212
4920,1338,2,213500,9,1338
16285,1413,2,187100,8,1430
8529,1454,2,189000,8,1434
4923,1593,2,286000,7,1593
11838,1753,2,236500,8,1788
2117,756,2,168500,7,1512
2117,756,2,177000,7,1525
14260,1145,3,250000,8,2198
10261,936,2,186500,8,1792
9100,1525,2,235000,6,1525
2117,756,2,177500,10,1573
11050,1440,3,313000,9,2153
9750,1630,2,213000,9,1630
8450,1349,2,179000,7,1349
11000,969,3,248000,7,2285
12224,992,2,244000,9,2054
11194,1406,2,230500,6,1936
8123,982,2,179000,9,1800
7750,384,2,180000,10,1430
9967,384,2,170000,7,1430
2651,673,2,165000,6,1382
7500,814,2,216000,10,1674
8520,910,2,166000,58,1385
8063,924,2,181000,7,1690
8795,952,2,236000,9,2256
8121,953,2,172400,6,1664
10852,959,2,173000,6,1671
8072,990,2,138000,15,990
10316,992,3,235000,8,1865
12464,1040,2,152000,13,1040
5330,1494,2,251000,7,1652
5664,1501,2,278000,9,1659
3230,729,2,176000,8,1458
3230,729,2,172500,10,1471
9430,1252,3,337000,10,2365
2645,776,2,174000,8,1441
2645,970,2,172500,10,1739
4500,1224,2,165000,10,1224
2280,744,2,179400,9,1501
11764,1152,3,290000,11,2270
10762,978,2,225000,10,1983
9066,1004,3,230000,9,1852
8738,975,2,230000,7,2291
8755,992,2,214000,10,2060
3735,691,2,183900,7,1452
2160,600,2,160000,9,1252
10335,1490,2,204000,10,1501
10264,1588,2,214000,7,1588
14774,1393,3,333168,11,2599
9179,873,2,193000,9,1790
9382,1468,2,191000,9,1479
5119,1698,2,328900,9,1709
7630,360,2,140000,110,1812
2572,696,2,155000,11,1416
6000,698,2,134900,72,1176
24682,841,2,181000,10,1675
9450,894,2,110000,53,894
7917,953,2,175000,8,1647
7500,994,2,189000,11,1804
9525,1099,1,144000,13,1099
14175,1188,2,168000,50,1437
9017,1431,2,192000,10,1431
12203,1225,3,336000,11,2612
16545,1284,3,340000,11,2450
12090,1141,2,258000,8,2263
9375,1057,2,219500,12,2034
12011,1086,2,280000,8,1924
9200,1470,3,315000,10,2630
4500,1237,2,153500,8,1337
12137,1649,2,224900,12,1661
4500,1204,2,162000,11,1204
11404,1153,2,222500,10,2031
4058,723,1,133000,9,767
8750,804,2,200500,12,1682
4500,1216,2,164000,8,1216
8973,1008,2,150000,48,1053
10141,832,2,185000,11,1718
16770,1195,2,221000,12,1839
9842,612,2,189000,87,2601
10410,672,3,105000,91,1214
9550,756,3,140000,91,1717
9531,794,2,211000,9,1796
10400,866,2,197900,11,1779
8846,870,2,148000,10,914
8924,880,2,188000,10,1724
11214,930,2,199900,8,1886
9084,935,2,176500,8,1632
9042,943,2,192000,10,1638
16226,1028,2,267000,9,2452
9750,1108,2,274300,8,2097
4060,1405,2,181000,10,1337
16196,1482,2,215000,9,1494
10140,1650,2,213250,11,1680
7399,975,2,239000,10,1950
9452,1396,3,348000,9,2392
13006,964,2,222000,9,2236
13125,1478,2,208900,11,1493
7060,1344,4,206300,11,1344
12886,520,2,175000,46,1464
12798,616,2,200000,11,1688
11414,728,2,167500,99,2019
13869,794,2,177000,10,1470
6204,795,1,118500,94,1749
11207,802,2,185000,9,1511
9337,824,2,204750,10,1786
8773,916,2,169000,10,1600
10839,926,2,181000,11,1604
15426,928,2,231500,12,1764
6000,960,1,108500,87,960
9830,1063,2,162000,51,1287
9920,1117,2,269790,11,2013
9236,1479,2,217000,9,1494
10208,1264,3,265000,13,2344
11787,1379,3,315750,11,2398
14720,2033,3,410000,15,3238
10593,1720,2,260400,14,1720
11883,1504,2,203000,13,1504
9303,872,2,204000,11,1756
10800,718,2,159500,117,2554
21872,729,2,175000,12,1446
10667,799,2,212000,13,1661
8740,840,2,137000,27,860
8750,880,2,191000,13,1716
8480,970,2,132500,44,970
13568,990,2,156000,11,990
9245,990,2,145000,14,990
8775,990,1,126000,13,990
9600,1067,2,128000,60,1067
14963,1260,2,245500,12,1288
2887,1291,2,173000,12,1291
14000,1306,2,328000,14,2260
15623,2396,3,745000,11,4476
35760,1930,3,625000,11,3627
10437,2109,3,350000,13,2113
12257,1318,3,290000,12,2531
15138,1462,3,403000,14,2794
10000,1220,2,240000,12,2090
5925,907,2,89471,70,1131
9950,1203,3,290000,12,2520
7875,1237,2,176000,12,1253
8530,384,2,168500,14,1474
13031,691,2,187500,11,1498
8000,773,2,188000,13,1658
10364,806,2,168000,12,1572
6120,927,2,141500,73,1539
10859,1097,2,145000,15,1097
9828,1128,2,239500,14,2020
11249,1200,2,177500,12,1200
9549,1494,2,270000,11,1494
5389,1595,2,236500,15,1616
21535,2444,3,755000,13,4316
14303,1986,2,301500,14,1987
46589,1629,3,402000,15,2448
10944,1223,2,271000,14,2127
10120,1165,3,290000,12,2526
12256,1463,2,325000,16,2622
8963,1142,2,299800,32,2715
8125,1408,2,193500,14,1679
8462,928,2,201000,13,1721
11040,637,1,108000,86,1336
8125,702,2,174000,15,1481
10832,712,2,194500,14,1895
8120,864,2,124500,39,864
18000,894,3,81000,73,894
8750,915,2,210000,14,1908
8880,948,2,205000,16,2110
29959,973,2,248000,15,1850
12461,1624,3,262000,12,1624
10542,1311,3,341000,15,2418
9900,1347,3,260000,16,2646
9938,1050,2,236000,17,1949
9317,740,2,213000,16,1775
9554,777,2,215000,13,1911
9291,832,2,187000,15,1710
7685,697,2,165600,13,1501
14778,1296,2,224000,54,1640
9765,680,2,185000,16,1470
11526,588,2,191000,86,2171
14115,796,2,143000,16,1362
7837,799,2,178000,16,1571
9636,808,2,178000,17,1593
9453,996,2,194500,17,1744
11228,1080,3,228000,15,2097
22950,1107,3,475000,114,3036
7892,1199,2,153900,15,1199
9991,1281,2,150000,33,1620
5395,1337,2,180000,15,1337
14541,1338,3,310000,13,2520
8012,1604,2,193000,15,1617
10846,1719,2,324000,15,1719
10678,1683,2,285000,15,2872
8872,912,2,147000,43,912
9125,384,2,163900,15,1482
9248,1158,2,173000,17,1167
10186,750,2,190000,18,1923
7153,761,2,175900,14,1603
10041,908,2,220000,14,1915
9069,936,2,147000,18,996
11218,1055,2,189000,18,1845
13346,1095,2,268000,14,2295
8012,1575,2,179200,15,1575
53107,1580,2,240000,15,1953
12692,3200,2,430000,15,3228
19296,1362,2,176000,47,1382
16059,1288,2,260000,15,2417
1680,630,1,112000,38,1302
7153,1278,2,179200,17,1294
10784,384,2,160000,16,1472
17120,0,2,134432,49,1588
12358,720,2,128500,66,854
6120,832,2,132000,78,854
13125,1104,3,238000,16,2127
9572,1453,2,302000,17,2810
13474,700,3,225000,17,2243
14684,2158,3,271900,19,2196
13758,1156,2,187500,17,1717
11839,1475,2,262280,18,2329
8049,1309,2,180000,16,1339
4280,440,1,90350,94,694
10300,576,2,140000,89,1710
4400,648,2,116000,86,1118
8400,814,1,129000,41,913
10357,910,2,179900,17,1442
11029,1184,2,176500,50,1414
9947,1188,2,173000,19,1217
11170,1216,2,250000,16,2514
11851,1424,2,180500,19,1442
12376,1673,3,320000,20,3222
11287,807,2,228500,18,1982
26178,1210,2,335000,17,2519
12800,1518,2,275000,20,1644
10200,1086,2,144900,56,1086
11070,1907,3,171000,18,1959
7200,596,2,157000,86,1762
7180,864,1,127000,36,864
10500,864,2,97000,38,864
6960,864,2,120500,39,864
12508,983,1,160000,68,1750
10029,1151,2,211000,19,2060
21695,880,2,222000,21,1680
10200,1461,2,175000,20,1509
13837,1204,3,229000,18,2183
14364,1157,2,277000,19,2062
10400,1845,2,241500,18,1872
10421,980,2,196500,22,1714
12134,559,2,164000,22,1752
9100,742,1,79500,78,779
8445,768,2,133000,37,768
7350,952,2,139000,57,952
4671,1228,2,189000,20,1228
13500,1237,2,325000,115,2775
11457,1392,2,175000,21,1412
7917,1143,1,148000,31,1113
10380,1502,2,301000,21,2730
1869,483,1,106000,38,987
13101,1728,2,142600,43,1728
13811,1112,2,176000,19,1137
8544,0,2,92900,59,1040
7244,768,2,129500,37,768
7599,845,2,129500,25,845
5306,1064,2,239000,19,1767
3696,1074,2,170000,21,1088
11782,1109,2,148000,49,1155
7064,980,2,135000,32,980
12416,1606,2,184000,22,1651
20544,791,2,215000,22,2093
7438,504,2,127000,98,1252
9672,1040,2,152000,26,1097
5271,1453,2,190000,20,1453
9206,741,2,178000,25,1732
11200,1298,2,180000,21,1298
5362,661,2,139000,97,1250
6240,816,2,114500,72,816
6600,816,2,138000,26,816
9600,845,2,135000,58,893
7200,894,2,123000,37,894
6600,994,1,107500,117,2372
6820,1488,2,212000,25,1502
6563,1742,2,275000,21,1742
12090,585,2,178000,23,1868
7175,744,1,125000,26,752
6951,876,1,119500,24,923
7937,1003,2,142500,22,1003
5062,1190,2,207500,23,2090
14145,1208,2,202500,22,1621
5814,1220,2,187500,25,1360
11120,1232,2,162500,24,1232
13005,845,2,260000,29,2353
10440,650,2,157500,104,1539
9180,840,2,144000,24,884
7252,858,2,134900,27,858
8885,864,2,131000,23,902
9187,1084,2,134000,24,1080
12327,1496,2,316600,26,2132
14100,728,3,381000,73,3447
5700,572,1,116900,82,1111
8314,816,1,124500,25,816
6600,816,1,130500,26,816
16669,1686,2,228000,25,1707
12546,1440,2,182900,26,1440
12090,1422,2,175500,27,1422
6000,649,1,120000,59,1183
7990,924,1,110000,33,924
10970,940,2,147000,30,1026
9758,950,1,119500,36,950
7804,1122,2,135000,81,1981
50271,1842,3,385000,25,1842
9600,2524,2,278000,28,2524
14115,1372,2,187500,29,1472
7200,936,2,140000,27,936
10240,1686,2,207500,26,1686
8400,650,2,171000,30,1564
1300,561,2,124000,29,1229
10762,626,1,120000,29,1217
7500,698,2,68400,90,1128
1950,716,2,151000,28,1556
12735,864,2,111250,36,864
7200,864,2,129000,57,864
7700,882,2,112500,35,882
8012,923,1,143000,30,923
7763,931,2,140000,46,1283
6979,1056,2,144000,30,1056
10125,1196,2,171500,31,1279
7018,1086,2,153337,30,1224
11584,539,2,197000,28,1725
7018,0,2,118964,30,1535
7018,0,2,118858,30,1535
14762,0,2,169000,58,2267
7018,0,2,142953,30,2240
6060,732,1,100000,68,1123
9000,780,1,141000,70,1375
7800,828,1,119900,41,965
7340,858,1,110000,36,858
7892,918,1,99500,31,918
7032,943,2,135960,27,943
10530,981,2,143250,36,981
23595,1332,2,260000,31,1524
17043,1362,2,181000,30,1586
11616,672,2,158900,32,1386
10395,1032,2,148000,29,1032
11880,1271,2,157000,31,1601
7844,672,2,149500,28,1400
16692,1392,2,250000,28,2784
13175,1542,2,210000,32,2073
9101,1097,2,165500,31,1110
11184,918,2,172500,31,1683
7000,864,1,136500,31,864
8471,506,2,151000,29,1212
8930,0,2,112000,32,1902
2289,855,2,148500,31,1441
2280,855,2,146000,32,1456
8405,861,1,119000,108,1367
6240,884,1,127500,76,1367
7540,888,2,156000,29,912
7264,952,2,205000,84,1548
9286,1268,1,143500,32,1268
16157,1360,2,194000,29,1432
11275,854,2,220000,75,1991
11751,1844,2,190000,33,1844
12984,1430,2,217500,29,1647
12227,1330,2,272000,31,2872
9650,1350,2,167900,32,1334
8400,0,2,144000,30,2020
10005,1160,2,192000,31,2022
7200,1041,1,125000,33,1125
8385,985,1,149900,31,985
11900,1386,2,82500,32,1411
9230,864,2,146000,41,1200
10900,689,1,161750,33,1392
8197,660,2,143500,30,1285
7950,690,2,159500,32,1426
16635,1602,2,215000,32,1602
10530,975,2,135000,29,1004
16659,795,2,235000,29,2263
10603,1610,2,205000,33,1610
18890,1361,2,190000,30,2620
10125,0,2,126000,32,1734
2665,757,1,127000,29,1475
11952,808,2,190000,30,1969
9200,938,1,130250,33,938
10998,984,2,117000,68,1604
10434,1005,2,115000,54,1005
8800,1040,2,150500,32,1040
7420,1057,2,132000,45,1057
4043,1069,2,140000,31,1069
4043,1069,2,127500,33,1069
4928,1078,2,128000,31,958
9880,1096,1,171000,31,1118
15611,1126,2,175000,31,1126
17400,1126,2,160000,29,1126
11250,1208,2,165000,29,1208
9819,1567,2,196000,32,1567
10480,803,2,205000,32,1964
9600,528,2,187000,31,1855
12328,1012,3,169900,34,1034
12046,848,2,195000,31,2030
13517,725,2,130500,34,1479
12384,793,2,197900,31,1935
10400,1090,2,152000,33,1370
11500,1680,2,136905,31,1680
11361,1193,2,180000,32,1523
18800,796,2,190000,30,1574
10304,780,2,197500,33,1868
2665,264,1,115000,32,1304
2592,536,1,85000,34,1112
2308,804,2,155000,31,1548
10140,832,2,162900,30,1664
2280,855,2,148500,33,1456
10650,894,1,128200,34,894
10780,911,2,132500,30,954
4928,958,2,143750,33,958
7819,1029,2,107000,34,1117
11333,1029,2,146800,31,1062
4224,1040,2,129900,31,1060
6000,1103,2,110500,81,1103
4224,1142,2,134000,31,1142
9600,1262,2,181500,31,1262
10768,1437,2,218000,31,1437
15498,1565,2,287000,32,2898
9297,1728,2,188000,30,1728
12640,1728,2,150900,30,1728
32668,2035,2,200624,50,2515
32463,1249,4,168000,46,1622
11475,713,2,179900,31,1552
9800,894,2,149900,34,894
10356,969,2,122000,32,969
10140,1056,2,153500,31,1074
10010,1389,2,170000,32,1389
16647,1390,2,171000,32,1701
70761,1533,2,280000,31,1533
9120,901,2,185000,34,1876
10140,1064,2,165000,35,1350
10140,1040,2,181000,32,1309
10625,1053,2,170000,36,1173
8892,1065,2,126500,47,1065
11235,1051,2,148000,43,1382
7200,768,1,133900,37,768
2308,855,2,147000,35,1322
8294,858,4,123000,36,872
13350,864,2,142500,32,894
9000,864,2,120500,36,864
8521,912,1,125000,43,912
5500,926,2,130000,81,926
6000,936,2,93000,56,936
7388,1063,2,150750,48,1327
10012,1138,2,137500,36,1181
17542,1192,2,294000,33,2167
10800,1522,2,240000,34,2614
13651,2223,2,244000,34,2223
9246,1656,2,135000,35,1656
1953,483,1,83000,33,987
9600,1242,2,175500,34,1242
